Anno,Eurozona,Albania,Venezuela
2000,2.1,0.0,16.2
2001,2.3,3.1,12.5
2002,2.3,5.2,22.4
2003,2.1,2.4,31.1
2004,2.1,2.9,21.7
2005,2.2,2.4,16.0
2006,2.2,2.4,13.7
2007,2.1,3.0,18.7
2008,3.3,3.3,31.4
2009,0.3,2.2,26.0
2010,1.6,3.6,28.2
2011,2.7,3.4,26.1
2012,2.5,2.0,21.1
2013,1.4,1.9,40.6
2014,0.4,1.6,62.2
2015,0.2,1.9,121.7
2016,0.2,1.3,254.9
2017,1.5,2.0,438.1
2018,1.8,2.0,65374.1
2019,1.2,1.4,19906.0
2020,0.3,1.6,2355.1
2021,2.6,2.0,1588.5
2022,8.4,6.7,186.5
2023,5.4,4.8,337.5
2024,2.4,2.2,49.0
2025,2.1,2.2,269.9
